# SPOT, PAYOFF, DELTA
6.045359020209644996e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.597166052460621444e+01,7.729844748142932431e+00,-8.919789851267155845e-01
5.650710333876494218e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.175778625157349921e+01,8.242213748426500786e+00,-1.000000000000000000e+00
3.384557624667258580e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.571504946181332585e+01,1.428495053818667415e+01,-1.000000000000000000e+00
3.100391722674829253e+01,8.996082773251707465e+00,-1.000000000000000000e+00
3.382559009898277935e+01,8.213453621186603826e+00,-9.369931173632921606e-01
5.930859913892638247e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.183091012442957179e+01,8.169089875570428205e+00,-1.000000000000000000e+00
3.802945649371620362e+01,7.589784538269621628e+00,-8.425753759686321898e-01
4.368913802447807626e+01,4.015153800008897100e+00,-7.813521355520108846e-01
5.340556474545304866e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.341194636186097000e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.594122471020887843e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.541376981612639696e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.814698623843198533e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.026665991707527326e+01,9.733340082924726744e+00,-1.000000000000000000e+00
2.819046258810305972e+01,1.180953741189694028e+01,-1.000000000000000000e+00
5.372653933324893671e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.245995488500713222e+01,1.754004511499286778e+01,-1.000000000000000000e+00
4.625338355630813680e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.581267755392774177e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.372823755140160529e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.245986658427845484e+01,1.754013341572154516e+01,-1.000000000000000000e+00
6.056258977729807214e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.796052993175860024e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.108718606418154451e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.663351055502298337e+01,2.336648944497701663e+01,-1.000000000000000000e+00
3.136558476983928045e+01,8.634415230160719545e+00,-1.000000000000000000e+00
5.316721305720818691e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.750162797570202144e+01,8.038989152477673983e+00,-8.473451036396344449e-01
4.814927226775597546e+01,5.671178005576480885e+00,-6.764114956220791397e-01
5.643624098224543673e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.737621990564845476e+01,1.262378009435154524e+01,-1.000000000000000000e+00
6.241525882511665202e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.862637406888032388e+01,1.137362593111967612e+01,-1.000000000000000000e+00
5.755657475624479957e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.407580448672182527e+01,1.592419551327817473e+01,-1.000000000000000000e+00
3.893972145971485332e+01,6.361188285557952682e+00,-8.346605338219997838e-01
5.185487191726863898e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.247443323740363752e+01,8.883488625795841642e+00,-9.567644773933881019e-01
5.366350958286299289e+01,0.000000000000000000e+00,-0.000000000000000000e+00
6.042512055323553000e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.240971274416288850e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.829313453648617127e+01,6.167400988168947329e+00,-8.514752522851900540e-01
3.563939217949957339e+01,7.524786068822006513e+00,-8.906865483470897127e-01
3.942221169328316677e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.436933115862116495e+01,1.563066884137883505e+01,-1.000000000000000000e+00
3.042061021504533969e+01,9.579389784954660314e+00,-1.000000000000000000e+00
4.121984263593900977e+01,4.190772129699626425e-01,-9.037274707575161381e-01
4.805290881194561337e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.829437995732116917e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.336059857335288825e+01,1.772960732530616701e+00,-1.076048456741807824e+00
5.804661422221036560e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.872162105400767729e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.906785002323391609e+01,6.375502342547217260e+00,-8.292638324504667535e-01
3.857431715854844612e+01,6.663003117082071824e+00,-8.324205488681283294e-01
4.854389381389204061e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.302523187878144029e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.292808936210442994e+01,8.647714216739242232e+00,-9.285481237388788500e-01
4.805599026778973837e+01,4.206234104175632815e+00,-7.054588810677807631e-01
5.100523797333792686e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.454351483799045042e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.969866703611885939e+01,2.030133296388114061e+01,-1.000000000000000000e+00
4.041835397390075002e+01,7.507299468161875211e+00,-7.846863423618215538e-01
4.378852339032655294e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.244864468899191934e+01,8.055982921465142610e+00,-9.801887016735533198e-01
3.840221541424667606e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.104130515600931517e+01,0.000000000000000000e+00,-0.000000000000000000e+00
6.185585927144175855e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.726650599801881114e+01,2.273349400198118886e+01,-1.000000000000000000e+00
2.940942768345100689e+01,1.059057231654899311e+01,-1.000000000000000000e+00
3.157716622214568147e+01,8.422833777854318527e+00,-1.000000000000000000e+00
3.460788099452201294e+01,7.522206831043593667e+00,-9.278308982680664174e-01
2.197851353165387422e+01,1.802148646834612578e+01,-1.000000000000000000e+00
3.410735695492491004e+01,4.943804505412056294e+00,-9.697648274218039210e-01
2.929010257944101880e+01,1.070989742055898120e+01,-1.000000000000000000e+00
5.186458041387150075e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.462343080867634626e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.399462022542963879e+01,1.600537977457036121e+01,-1.000000000000000000e+00
3.016458359105314457e+01,9.835416408946855427e+00,-1.000000000000000000e+00
4.616411407742412365e+01,3.274427063700911855e+00,-7.488591741711561056e-01
2.650207447017473683e+01,1.349792552982526317e+01,-1.000000000000000000e+00
5.871067290311256670e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.660123063857608017e+01,1.339876936142391983e+01,-1.000000000000000000e+00
5.054959448644314790e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.994311731918079289e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.333214862773306919e+01,7.783281543625251153e+00,-9.610100089955470049e-01
3.071300907035909233e+01,9.286990929640907666e+00,-1.000000000000000000e+00
5.484507232190172488e+01,0.000000000000000000e+00,-0.000000000000000000e+00
