# SPOT, PRICE, DELTA, VEGA
3.080634696131442141e+01,9.147513526393847627e+00,-1.001154837819855592e+00,1.186383083811088507e-01
2.342596668515577463e+00,3.761128084946452788e+01,-1.001152483301535723e+00,9.020371046378180060e-03
7.440641302695387083e+01,4.673066449074683715e-04,-1.006130543628753538e+00,3.355520564379658843e+00
2.867531070026595685e+01,1.127851320372845301e+01,-1.001155784514665914e+00,1.105771828212841201e-01
1.385300408775600012e+01,2.610091285541338024e+01,-1.001150950829826414e+00,5.335275493684876053e-02
5.926604375121134183e+01,2.990929999814350218e-02,-9.820376200204510297e-01,4.828903593713820719e+00
5.658470517868860838e+01,6.018689551017929878e-02,-9.833638342327635229e-01,4.670835616573708826e+00
1.978046566293212294e-01,3.975606802286299057e+01,-1.001154974364803607e+00,7.616658305268001307e-04
5.386194428105484633e+01,1.123206492024300812e-01,-9.773268421292421460e-01,4.983826779495005965e+00
7.532792366542551576e+01,2.102772934728092927e-04,-1.002689334157771173e+00,1.830119445948078738e+00
1.524104131765184889e+00,3.842977177115400877e+01,-1.001152454679491655e+00,5.868694587322633924e-03
4.809454608691996214e+01,4.516021408886591315e-01,-9.600295667471544503e-01,5.495174628509515102e+00
6.561815209460276321e+01,4.615462131659601487e-03,-9.950447491118348253e-01,3.328123764717566768e+00
3.866641258736079578e+01,2.870776308470783356e+00,-9.776122382499653485e-01,4.603456730685681286e+00
5.039304285984650278e+01,2.767184521353471816e-01,-9.620308866704107009e-01,5.697327812958281612e+00
4.722912206497797172e+01,5.433915740189075860e-01,-9.544188907965912572e-01,5.539628636595711697e+00
2.724028298739738574e+01,1.271359822982899068e+01,-1.001154201662246779e+00,1.048912452588543487e-01
3.218195750174490399e+01,7.775551528651599043e+00,-1.000831171960650634e+00,2.293438447988395412e-01
8.203296975280069958e+00,3.175058813845139838e+01,-1.001152136299381157e+00,3.159447369382226145e-02
2.523088084741125670e+01,1.472303653609563412e+01,-1.001152733851050192e+00,9.715457637728006079e-02
2.183189838177010245e+01,1.812194580405311584e+01,-1.001154553068881015e+00,8.420560395463051739e-02
4.698090521398580677e+01,5.746360914251671392e-01,-9.521476156706095706e-01,5.425385196515777331e+00
2.052329082620506284e+01,1.943058785524315368e+01,-1.001153558606401095e+00,7.908587612063623651e-02
7.610252151700376544e+01,1.234485138888917412e-04,-1.002383671112158092e+00,1.082938439048923840e+00
1.645127155140368558e+01,2.350263206505391267e+01,-1.001152282105256086e+00,6.336305395643226923e-02
7.809447720533242432e+01,9.048862553494763008e-05,-1.002516540612999885e+00,1.924807862138113945e+00
4.226157129746703589e+01,1.488129840775822554e+00,-9.544883928417391417e-01,5.171843443330531365e+00
3.412786003984094663e+01,5.929157754226689114e+00,-9.964124774801831341e-01,1.570545713802288024e+00
9.653438177720854441e+00,3.030041940583726756e+01,-1.001155736461792234e+00,3.717561266810933546e-02
4.872927393836290477e+00,3.508095269731722965e+01,-1.001153008111992593e+00,1.876363814865557658e-02
3.930014783087137431e+01,2.564312409326838793e+00,-9.664182676874195632e-01,4.755018930688702739e+00
7.180217928912145453e+01,8.734892277423713736e-04,-1.002329255771231997e+00,2.896426180608650203e+00
7.263873068678414313e+01,7.618370325535905917e-04,-9.977040453110829210e-01,4.234215457348922129e+00
4.433048820636269483e+00,3.552082076455628368e+01,-1.001155049411658560e+00,1.707026581278803246e-02
4.111146322619162419e+01,1.846272171223707570e+00,-9.617335832487298175e-01,4.989911669941387906e+00
6.653327258777100894e+01,3.207078864663352995e-03,-9.973243360960651893e-01,3.412453330229102466e+00
6.019536118554017889e+01,2.321892408419342843e-02,-9.896107382393745100e-01,4.186930395570485075e+00
4.060895258391391849e+01,2.026248702308236282e+00,-9.683907248793449662e-01,5.073479459438278383e+00
4.773996993871926975e+01,4.915275797993649554e-01,-9.560481271191865194e-01,5.479086148351181684e+00
3.446815024391389670e+01,5.640543545293562389e+00,-9.960842327189846079e-01,1.871398283940586049e+00
5.697807019793202699e+01,5.299678776078804027e-02,-9.766945084658855691e-01,4.737632511199800334e+00
3.564136194781914924e+01,4.717280590067920443e+00,-9.922769294515932925e-01,2.908198671050625794e+00
7.164141907657226582e+00,3.278972133793969590e+01,-1.001155843195653983e+00,2.758624050897671640e-02
3.695309952135190912e+01,3.822432813701830856e+00,-9.836848664098357675e-01,3.809201247065277851e+00
9.651829029457825726e+00,3.030206655615041456e+01,-1.001152108102800309e+00,3.716552029534034296e-02
2.760513735661690049e+01,1.234882197425660699e+01,-1.001151254459184958e+00,1.063310932774260004e-01
2.123273590710908110e+01,1.872111136118400054e+01,-1.001155187402847258e+00,8.179213755806098718e-02
6.927948994885726108e+01,1.443784869545824056e-03,-1.002272921744861156e+00,2.421791603508471891e+00
4.501477789308295030e+01,8.629575361004604428e-01,-9.474903659061505445e-01,5.286120593787300592e+00
5.618565032213979293e+01,6.922964238229699363e-02,-9.781198964645342331e-01,4.919709662691523100e+00
5.208720181786490144e+01,1.829997298737881528e-01,-9.717633048149953989e-01,5.492384230492929120e+00
2.265523736268357169e+01,1.729848290480704165e+01,-1.001159378762273011e+00,8.738735277290210490e-02
4.170672330179744591e+01,1.644289671828514487e+00,-9.650710186665473200e-01,5.085326706139571940e+00
8.259330148252725934e+00,3.169448949482101341e+01,-1.001160906449927612e+00,3.180381705878566195e-02
