# SPOT, PRICE, DELTA, VEGA
4.332817385675420496e+01,1.462302726739009406e+00,-9.019963587282757711e-01,5.470278307848051469e+00
4.253902427731394198e+01,1.728138457045031773e+00,-8.991196788403246209e-01,5.550241090756335538e+00
3.007248261739248107e+01,9.804093726909428597e+00,-9.884159246954972167e-01,4.094329415805045613e+00
3.162514741489243519e+01,8.234446213445394847e+00,-9.830505778491237523e-01,4.144592875339647264e+00
1.645053482847144721e+01,2.352360436800892529e+01,-9.920161138923434541e-01,1.500296685005062525e+00
2.656390453439457744e+01,1.247417338940908671e+01,-9.831181322490103458e-01,2.327907314383658832e+00
2.771006849342209222e+01,1.193611589176160237e+01,-1.005749830768511766e+00,2.448380367460272655e+00
2.629835692511917244e+01,1.194382588052484628e+01,-8.880428764917391860e-01,3.089347168226239226e+00
4.728521459977210384e+01,6.577962035797042528e-01,-8.845579100200817724e-01,5.408929591793692815e+00
4.651596934228309266e+01,7.888865334141139662e-01,-8.901762381760065512e-01,5.430368070098635869e+00
1.720649323320327895e+01,2.261123074721928106e+01,-1.006920411844742791e+00,1.036448138893828474e+00
2.203594939505111938e+01,1.789841034746254422e+01,-9.809069239179043498e-01,1.526783500447459474e+00
2.460070488020010870e+01,1.496787627508392760e+01,-9.716296688581156360e-01,1.874436091197263066e+00
2.110986288175027070e+01,1.629834141837353201e+01,-8.940176038551561621e-01,1.109812774612541686e+00
4.023339841828374119e+01,2.567916983321762991e+00,-9.091653839175973806e-01,5.531414389807535414e+00
4.396057058803256723e+01,1.284740650099566839e+00,-8.911730825575147064e-01,5.383957804267663683e+00
4.775863036024600206e+01,6.024655952272254256e-01,-8.862177446259412728e-01,5.421264749896967494e+00
2.226730282504530933e+01,1.713490161609837514e+01,-9.742746915867492863e-01,1.735043662122044195e+00
3.474805066954768051e+01,5.714022584258772852e+00,-9.511926351102935051e-01,4.624036546787686497e+00
1.659498008805980973e+01,2.275056364291638644e+01,-9.798768224364300394e-01,1.253442785575738849e+00
3.353908353998319569e+01,6.612700079059244729e+00,-9.618195227917959444e-01,4.434853417566432476e+00
3.656378046867262555e+01,4.496352353092805565e+00,-9.344818752044171672e-01,4.994903773106448952e+00
1.753378159348477539e+01,1.809441352323089092e+01,-8.227310463436625643e-01,1.140136663106802173e+00
2.690640616318279044e+01,1.295294630178363704e+01,-1.000775199786985148e+00,2.391416689523150119e+00
4.143852557089437738e+01,2.110111271993913018e+00,-9.043625101031624869e-01,5.584198379303322746e+00
2.940245806439770249e+01,1.025585728607617497e+01,-9.947098179517909200e-01,3.527040098392922651e+00
1.911683379090889545e+01,1.637810212383306663e+01,-7.947706216597715256e-01,3.425032803594764141e-01
2.495347946369501813e+01,1.469932827746599280e+01,-1.010844228939477674e+00,2.181121035928960783e+00
4.746139731456899113e+01,6.342594350287339422e-01,-8.878980012029799029e-01,5.374054219890043171e+00
4.226640517356020155e+01,1.825058773346682983e+00,-8.989011553925392306e-01,5.567212322982673101e+00
1.610522224038853167e+01,2.398725211663715484e+01,-9.898371873059133019e-01,1.353892903257019942e+00
4.203345112261914096e+01,1.849873595683468208e+00,-9.068419384842796305e-01,5.522324760827653556e+00
4.696549042014675734e+01,7.065675753154403438e-01,-8.925553461237567543e-01,5.392938512714911425e+00
1.726088644472185862e+01,2.278338730451154959e+01,-9.972264605652466640e-01,9.236896839356134592e-01
4.175159616790497807e+01,1.948085398258424750e+00,-9.001414793173972972e-01,5.597341856913706337e+00
3.684428224649930428e+01,4.279119554682258908e+00,-9.317768528510237402e-01,4.990247142000916902e+00
2.668606926438325644e+01,1.118773543704292095e+01,-8.825982330420379940e-01,1.852630208209990581e+00
4.048219423885633717e+01,2.459317621699116607e+00,-9.132873662719613872e-01,5.524057155870566227e+00
4.203794840734846616e+01,1.889542558195395294e+00,-9.053121816154201529e-01,5.545683869365428009e+00
3.076020582125215697e+01,8.970746796277474289e+00,-9.888915990434924419e-01,3.831210293509723197e+00
2.744093022103126955e+01,1.188066372872751053e+01,-9.675956517277055635e-01,2.996497290312948536e+00
2.153487766356217392e+01,1.606381624233994998e+01,-8.635956023199476972e-01,1.371417021656097690e+00
2.435634435927972419e+01,1.566782720712317811e+01,-9.983600853900443939e-01,1.697975338418224345e+00
3.566807662059797224e+01,4.899311879286195826e+00,-9.454078620798932464e-01,4.614741266262383235e+00
4.324160140139618136e+01,1.509546230741691586e+00,-8.958276279989620949e-01,5.474209289871115658e+00
2.521075544219829112e+01,1.444935998411717826e+01,-9.962328924903772753e-01,3.089625932919012108e+00
3.851783306520593442e+01,3.362401051370111915e+00,-9.225049052096093716e-01,5.299931000585231367e+00
1.725884692107354823e+01,1.781372068930763675e+01,-7.834057149080388971e-01,1.708362598106162311e+00
