# SPOT, PAYOFF, DELTA
3.801242218152816577e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.897163004218014848e+01,1.173205863840340690e+01,-9.741189602150418514e-01
4.096896291962092818e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.522425470197747188e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.904664875616438735e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.284713685960750951e+01,3.317546863582955918e+00,-8.037892260318408866e-01
3.584184208569657670e+01,6.495985022165410960e+00,-9.322013537315831933e-01
3.424930275235929145e+01,6.265180547231467223e+00,-9.689187024513310487e-01
3.907702715149624595e+01,6.032852565000571765e+00,-8.505114931214925456e-01
3.788225241299168289e+01,7.080354318206540043e+00,-8.605050626715609052e-01
3.791439989608131356e+01,6.158814045071362209e+00,-8.744655081609236102e-01
3.886183405325600404e+01,5.575895995894611268e+00,-8.405162564552884907e-01
4.880030304127463836e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.219330981822697169e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.726566437534468434e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.516404843530775537e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.524329716634218812e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.921611580599852687e+01,5.333929022194730862e+00,-8.413458955583101861e-01
5.435629745995991868e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.234757122354002234e+01,8.310958329218946616e+00,-9.782160837652202900e-01
2.387849371232790574e+01,1.738635676190940060e+01,-9.450979731299519182e-01
3.080510940035066270e+01,8.858281318324030096e+00,-1.009429671174899568e+00
2.579421915174026481e+01,1.363201475354228442e+01,-1.020455702203672210e+00
4.561041133851021101e+01,6.883310934520151525e-01,-8.108291323102524428e-01
4.132160363493052557e+01,7.245429556022706663e+00,-7.782623421931932350e-01
4.093123985931274689e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.310500871899302666e+01,7.410277017926955700e+00,-9.830414493813111054e-01
2.635997560641922988e+01,1.434674376023359699e+01,-9.714397840473459889e-01
4.678032879768142038e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.319835573419074848e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.709622618668404925e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.253615339956022723e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.003545240963299889e+01,9.644929214392007566e+00,-1.009105611031651417e+00
3.114254189507613901e+01,1.022814624993187493e+01,-9.545054678274280668e-01
3.891654881425677814e+01,2.659862045507674022e+00,-9.029922869457257528e-01
4.060160248807515160e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.201945274292293675e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.811015254305191746e+01,6.451987306873842698e+00,-8.682496535362148604e-01
3.316189418203616412e+01,7.002607455571261852e+00,-9.922591001131324528e-01
3.241935653653799676e+01,6.429623337523080018e+00,-1.014333077284547358e+00
3.850819590281898996e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.866086060553283943e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.914596876303347983e+01,3.619694285288801439e-01,-7.591388033214188091e-01
4.624947353813088569e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.679890447545527365e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.687813365029821000e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.623084838285168274e+01,7.041587962502264375e+00,-9.007969120020034026e-01
3.423722239926615174e+01,6.345212924574629376e+00,-9.762673460197354158e-01
3.178139472227395146e+01,7.192355873285737111e+00,-1.030839495366142389e+00
3.393308627837137692e+01,5.212727263196763161e+00,-9.759065108446005610e-01
3.598238486979269624e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.585878985296769628e+01,6.240496925332485567e+00,-9.401704849418999199e-01
3.893596845063883194e+01,6.745908422798670756e+00,-8.306351522575944335e-01
5.307413030907365936e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.363743292992689504e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.838622893801629488e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.011726511848235077e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.680693617823501995e+01,6.980050921702956934e+00,-8.883698774857613500e-01
4.907983018225225891e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.586837221920005447e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.991704233384717071e+01,5.799845034884939743e+00,-8.193420305916290225e-01
2.688361068158996403e+01,1.383777451747240761e+01,-9.714505451917897494e-01
4.650987130145988147e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.615609833474074009e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.848022501791565020e+01,4.475475838473665036e+00,-8.728727090188368454e-01
3.246512509549250325e+01,8.124099022480145038e+00,-9.804297274297564257e-01
2.873640108963464712e+01,1.115596353539488916e+01,-1.002140426200393231e+00
4.497729825112533319e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.137855319281446498e+01,7.767109015071950395e+00,-1.025756782282921442e+00
3.961569488163339514e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.969309555216526775e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.421719782168901247e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.527865181542094319e+01,2.256357750346058122e+00,-7.831000551690892042e-01
5.093698945260911870e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.517127296752947530e+01,5.708490157607790216e+00,-9.464799432065834628e-01
4.981277465350297007e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.284139654334502723e+01,6.577833288267702194e+00,-7.672984518229688522e-01
4.522866501911225612e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.255451274877081858e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.678800800877215949e+01,4.455098430839107837e-01,-1.011880596834970225e+00
4.609506510984577687e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.959894276193850615e+01,1.013877968499004290e+01,-1.007302636639312743e+00
5.068567533502039169e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.429568044642696378e+01,7.094908684540284227e+00,-9.581079499972385838e-01
4.018490555461269764e+01,3.999080051345401454e+00,-8.411647344061738973e-01
3.458166422169384902e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.462647984567126969e+01,6.229529435387923364e+00,-9.739466294508373201e-01
4.469613459921101395e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.988256823511401450e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.751609915613078527e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.021646335618408585e+01,3.301123270832309942e+00,-8.567757503101414152e-01
2.740035575589566363e+01,1.108180189428482798e+01,-1.053711533301155967e+00
4.554897689828738550e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.447801195305421373e+01,6.349795446510574592e+00,-9.746524065851608354e-01
5.144518369738423758e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.721098919150113460e+01,1.368457919792986477e+00,-7.689337598143787256e-01
2.507812473557292421e+01,1.488219690482240409e+01,-9.997428488120014833e-01
4.895716534332070324e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.137286929347079223e+01,8.822693513141995680e+00,-9.922962087552417154e-01
5.060021549770701199e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.819996594298341819e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.885478591461654219e+01,3.470934203039903299e+00,-8.801913672998694649e-01
4.020984769753845001e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.445250555821348115e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.489750428695759155e+01,2.656448023707868256e+00,-1.007085124100273399e+00
4.261293815380066263e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.789792513750703762e+01,6.521553134545159836e+00,-8.785245297956406629e-01
3.293940777768698780e+01,6.868622295148976598e+00,-1.004427605346615460e+00
2.761440566881787717e+01,1.299211182695395195e+01,-9.763657877423743692e-01
3.425745312538344223e+01,6.663528077262935057e+00,-9.717694007117246846e-01
3.072705256433647847e+01,1.042940875730420736e+01,-9.608622223594047718e-01
4.089446180816779730e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.461780322117464692e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.332853912753806469e+01,3.963135817877823985e+00,-1.024486050185276609e+00
3.983878067251180255e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.355154787091455404e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.570182844084351359e+01,5.988677525708103744e+00,-9.207920405187719481e-01
3.180914562976712290e+01,6.423375182241819914e+00,-1.054115001353793435e+00
3.917456329383474412e+01,5.029041310063635528e+00,-8.579555415403447016e-01
3.811578783247978208e+01,5.621696709219987653e+00,-8.732813764034457193e-01
3.552958615787898822e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.292615855586273454e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.989516067721518056e+01,4.001821940272153988e+00,-8.439309137142191330e-01
4.186142521525399474e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.410861587755613300e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.796340530053748097e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.092606904484775043e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.054917936650592480e+01,4.153903067534947091e+00,-8.362662711243703528e-01
3.771766380240170236e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.264195153628651980e+01,3.748239590848628566e+00,-8.067997421679170555e-01
2.842742390942834874e+01,1.022008352231989647e+01,-1.045954404565138551e+00
4.666044585799494371e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.721381559865385569e+01,1.160686496826233061e+01,-1.041640327862244808e+00
5.382447108807279790e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.375281356614822670e+01,7.835632330133525336e+00,-9.515722408666306142e-01
3.534828992595586072e+01,6.337419515421721883e+00,-9.510064935481048476e-01
6.509415061233463007e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.327284967967580087e+01,5.973906720124349867e+00,-9.979275045461400984e-01
4.860315922562617885e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.846130578785984255e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.154819503245248313e+01,8.915011012511069310e+00,-9.838553909783802620e-01
3.753634069240808913e+01,6.657962689329630201e+00,-8.699752220143749382e-01
3.246192929531471094e+01,7.352548664869330786e+00,-1.004294101233930148e+00
5.351543137100610181e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.869145676216707130e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.726653754356470927e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.775218970868607471e+01,3.653647914767881120e-03,-9.977415346264992824e-01
2.665560802495344817e+01,1.346958421193962785e+01,-9.935728546913695780e-01
2.683392367948994206e+01,1.436415878572577220e+01,-9.536329569521768690e-01
4.089078053764809795e+01,5.258093166335398472e+00,-8.174358779369295114e-01
4.832024472632355128e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.759410695008370595e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.838390045409833817e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.295631366727079836e+01,6.789542551344731613e+00,-1.006311887740583666e+00
4.784528893717410369e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.894394276831667412e+01,5.104114547809452951e+00,-8.508584999378279168e-01
3.037291674565170041e+01,9.151969544807920798e+00,-1.014123980385538637e+00
3.726000417285503374e+01,7.076444091505554645e+00,-8.447011022283497095e-01
3.443010879994002948e+01,6.469723565666304133e+00,-9.725252220294703376e-01
3.691455520363943776e+01,5.383252593463865310e+00,-9.081580853912223361e-01
3.182710034384876607e+01,8.460943564310042575e+00,-9.895004215363091271e-01
4.332806796475242095e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.543035978607416325e+01,7.562296718262019546e+00,-9.103354714060533093e-01
5.287280950053176554e+01,4.873656421485870638e+00,-6.235944580597010400e-01
3.737758195352621726e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.681431512131999995e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.601370705420715979e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.067243178506060985e+01,3.711005588434630909e+00,-8.467836319557662250e-01
4.587531020592270892e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.734540764086506925e+01,1.207887389750645291e+01,-1.019366733873948938e+00
4.765758479006961323e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.555864359260101537e+01,6.560948096405145868e+00,-9.390944451371030510e-01
4.743332946581681142e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.649427230126023858e+01,6.576535373641815951e+00,-9.082931602910201407e-01
4.639135966196609218e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.899708848189783339e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.421135129016381882e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.957602349876746217e+01,2.956551647877514455e+00,-8.793471176014828750e-01
2.655848736129536292e+01,1.431982497817172373e+01,-9.651923109902900144e-01
3.609812024765471250e+01,8.057289905800166352e+00,-8.810566230661481812e-01
3.568956664503364351e+01,7.765808489264468761e+00,-8.967350878882881515e-01
5.309809801730682466e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.835900552340852698e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.157604864438911108e+01,7.612357138002250778e+00,-1.024242013212487867e+00
3.601677937015914210e+01,6.905742057672042300e+00,-9.086522075537994958e-01
5.013063651066294568e+01,6.006259291550836155e-01,-7.394670803018822403e-01
4.620772561124172029e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.469973496401822644e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.149221773941613023e+01,8.104438042132807496e+00,-1.011343024242804312e+00
4.092781978517124486e+01,5.872684863538617073e+00,-7.919152059884744244e-01
3.736794334473716361e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.732870346531596439e+01,1.104661638940124391e+01,-1.057761719948149048e+00
3.141116933161821123e+01,1.020623760516186351e+01,-9.470400433555724584e-01
5.183789966757113632e+01,3.112016178223392160e+00,-6.691858563630408430e-01
3.162245044433216989e+01,8.250410016224821064e+00,-1.002561860612681599e+00
2.966456289008881342e+01,8.645106372550609208e+00,-1.055426520669776158e+00
3.544010366559570002e+01,5.830420181855727968e+00,-9.169788897938030425e-01
6.129502044339180600e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.165282902329919068e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.844210778568479014e+01,1.186657333343293264e+00,-9.490614878202040527e-01
4.719949787449343859e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.968171268070017632e+01,1.049860876581593061e+01,-9.923707678823889822e-01
3.324625957493149286e+01,7.514095748571707922e+00,-9.743563155760035510e-01
5.111729536314378208e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.592268930359639967e+01,3.355382407466382944e+00,-9.649761167987456201e-01
3.481813772211139479e+01,6.739364152170692179e+00,-9.473415667936996298e-01
5.503201030937384530e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.617485471891372839e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.115028353955502283e+01,8.571525434533798560e+00,-1.007449813304052366e+00
4.069832481929328338e+01,4.911899765036948473e+00,-8.210742697309446614e-01
5.279508766011340271e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.992519785971379065e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.784510492911405066e+01,1.222217761135948066e+01,-9.959271200472959995e-01
4.718424063533912971e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.352186080382988820e+01,6.353865261423631949e+00,-1.002331216218294019e+00
3.723628318722547448e+01,6.500571202037442653e+00,-8.860966232831724021e-01
4.271151193761644294e+01,6.789130381035147543e+00,-7.572546051279697155e-01
3.307970683475084428e+01,7.285567229501044295e+00,-9.875633331492253975e-01
4.859423239352828006e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.744010368840013570e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.823487209770505757e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.868726821727835485e+01,1.126050669779350422e+01,-1.000212563138070943e+00
4.451505271730152202e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.815071346225045801e+01,5.659035481175744842e+00,-8.726806146427878996e-01
3.330552173175414765e+01,4.044832245532680837e+00,-1.020103743298921728e+00
4.331907093457043345e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.750405404597776027e+01,7.167083372643435091e+00,-8.583593039785594181e-01
4.032582698509872898e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.734816751586674144e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.989304960702170177e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.339572788318520224e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.249096535299916155e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.316186276950615763e+01,8.843096989101382199e-01,-8.522864696759403502e-01
3.838961925553752508e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.892677777775999459e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.118453000683228282e+01,3.457277789414658464e+00,-8.339035959428516831e-01
4.038837670411859193e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.044950588933977542e+01,3.235077021170700284e+00,-8.545500786269768501e-01
4.106056113899722249e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.239970439390764767e+01,9.374775310155529340e+00,-9.438079153099089291e-01
4.135040835655451019e+01,5.315602658375988554e+00,-8.015773084292201478e-01
3.031740233267268536e+01,9.470819347151550716e+00,-1.005463894603662922e+00
3.688681788873717693e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.931631489840858507e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.482923320154740310e+01,7.043041903285297778e+00,-9.422755803159971189e-01
4.281816865903540759e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.444314928640827844e+01,4.295816188280373038e-01,-8.379469124599380203e-01
5.519061985270168691e+01,0.000000000000000000e+00,-0.000000000000000000e+00
5.125043549446010616e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.802612727116079583e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.466668130008675064e+01,6.007103435336048847e+00,-9.686436672958605998e-01
4.396327687796781447e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.268874009901434619e+01,8.219990147903285305e+00,-9.707894072026466148e-01
3.414475752511609841e+01,6.501022959418000013e+00,-9.797360484051367280e-01
2.847856190456171532e+01,1.055608886250178813e+01,-1.032277683362096132e+00
4.535239360859821289e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.923800698944616983e+01,5.434310285958111386e+00,-8.530808940758586312e-01
3.282022124883603453e+01,8.458890335026431728e+00,-9.596212711977784027e-01
4.304454299163261055e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.066509925899262612e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.513526237855857914e+01,6.012396480013354250e+00,-9.362419877738167306e-01
3.903929720925418678e+01,6.402385437161304260e+00,-8.395492612805388610e-01
3.173255038700727226e+01,8.130594004320617074e+00,-1.002859158132340500e+00
4.863855739096865705e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.515417330214398106e+01,3.883524412076531096e-01,-8.256651860879509197e-01
3.865916950121223294e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.776266706168342324e+01,6.740253674376540438e+00,-8.518267696333394756e-01
5.473399828962280367e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.927079508590098200e+01,1.182762155059395859e+01,-9.608980944211031883e-01
3.957552398815722228e+01,4.482884611616648307e+00,-8.518628118951060424e-01
4.541873431941714045e+01,0.000000000000000000e+00,-0.000000000000000000e+00
3.883498617178467782e+01,0.000000000000000000e+00,-0.000000000000000000e+00
2.989498056520984193e+01,1.032297488887967241e+01,-9.911663202895660829e-01
