,,DEG_standard,DEG_differential,DEG_standard,DEG_differential
10,256,6.370 (0.8328),5.288 (1.1696),0.618 (0.0428),0.473 (0.1584)
10,1024,3.372 (2.3712),2.111 (2.1622),0.385 (0.2399),0.235 (0.2256)
10,4096,1.354 (2.0895),0.823 (1.7478),0.206 (0.2286),0.102 (0.1845)
10,16384,0.477 (0.5896),0.589 (1.6859),0.137 (0.1355),0.074 (0.1732)
10,65536,0.892 (1.7378),1.145 (2.0136),0.156 (0.1784),0.142 (0.2108)
25,256,2.391 (1.8334),2.114 (1.6612),0.299 (0.2001),0.210 (0.1821)
25,1024,0.569 (1.1906),0.120 (0.0390),0.123 (0.1257),0.027 (0.0084)
25,4096,0.335 (1.2209),0.075 (0.0205),0.057 (0.1243),0.017 (0.0034)
25,16384,0.093 (0.1200),0.069 (0.0160),0.044 (0.0628),0.016 (0.0030)
25,65536,0.050 (0.0191),0.069 (0.0110),0.023 (0.0079),0.016 (0.0038)
50,256,0.771 (0.6145),0.359 (0.1598),0.164 (0.0921),0.055 (0.0361)
50,1024,0.131 (0.0531),0.098 (0.0272),0.036 (0.0148),0.021 (0.0044)
50,4096,0.058 (0.0209),0.073 (0.0205),0.021 (0.0051),0.017 (0.0026)
50,16384,0.042 (0.0084),0.065 (0.0125),0.019 (0.0031),0.015 (0.0019)
50,65536,0.038 (0.0047),0.066 (0.0052),0.019 (0.0020),0.015 (0.0017)
100,256,0.283 (0.2265),0.165 (0.0524),0.085 (0.1013),0.031 (0.0065)
100,1024,0.109 (0.0376),0.095 (0.0256),0.028 (0.0080),0.021 (0.0042)
100,4096,0.056 (0.0182),0.072 (0.0211),0.019 (0.0046),0.015 (0.0033)
100,16384,0.037 (0.0073),0.064 (0.0124),0.018 (0.0025),0.013 (0.0017)
100,65536,0.029 (0.0060),0.064 (0.0054),0.016 (0.0023),0.012 (0.0007)
200,256,0.178 (0.0706),0.150 (0.0548),0.041 (0.0162),0.028 (0.0084)
200,1024,0.114 (0.0425),0.094 (0.0255),0.031 (0.0115),0.019 (0.0046)
200,4096,0.059 (0.0231),0.072 (0.0213),0.021 (0.0093),0.014 (0.0036)
200,16384,0.032 (0.0080),0.063 (0.0122),0.014 (0.0031),0.012 (0.0017)
200,65536,0.021 (0.0057),0.064 (0.0055),0.012 (0.0024),0.011 (0.0008)
