# SPOT, PRICE, DELTA
2.000000000000000000e+01,2.000000000000000000e+01,-1.000000000000000000e+00
2.004004004004004003e+01,1.995995995995995997e+01,-1.000000000000000000e+00
2.008008008008008005e+01,1.991991991991991995e+01,-1.000000000000000000e+00
2.012012012012012008e+01,1.987987987987987992e+01,-1.000000000000000000e+00
2.016016016016016010e+01,1.983983983983983990e+01,-1.000000000000000000e+00
2.020020020020020013e+01,1.979979979979979987e+01,-1.000000000000000000e+00
2.024024024024024015e+01,1.975975975975975985e+01,-1.000000000000000000e+00
2.028028028028028018e+01,1.971971971971971982e+01,-1.000000000000000000e+00
2.032032032032032021e+01,1.967967967967967979e+01,-1.000000000000000000e+00
2.036036036036036023e+01,1.963963963963963977e+01,-1.000000000000000000e+00
2.040040040040040026e+01,1.959959959959959974e+01,-1.000000000000000000e+00
2.044044044044044028e+01,1.955955955955955972e+01,-1.000000000000000000e+00
2.048048048048048031e+01,1.951951951951951969e+01,-1.000000000000000000e+00
2.052052052052052034e+01,1.947947947947947966e+01,-1.000000000000000000e+00
2.056056056056056036e+01,1.943943943943943964e+01,-1.000000000000000000e+00
2.060060060060060039e+01,1.939939939939939961e+01,-1.000000000000000000e+00
2.064064064064064041e+01,1.935935935935935959e+01,-1.000000000000000000e+00
2.068068068068068044e+01,1.931931931931931956e+01,-1.000000000000000000e+00
2.072072072072072046e+01,1.927927927927927954e+01,-1.000000000000000000e+00
2.076076076076076049e+01,1.923923923923923951e+01,-1.000000000000000000e+00
2.080080080080080052e+01,1.919919919919919948e+01,-1.000000000000000000e+00
2.084084084084084054e+01,1.915915915915915946e+01,-1.000000000000000000e+00
2.088088088088088057e+01,1.911911911911911943e+01,-1.000000000000000000e+00
2.092092092092092059e+01,1.907907907907907941e+01,-1.000000000000000000e+00
2.096096096096096062e+01,1.903903903903903938e+01,-1.000000000000000000e+00
2.100100100100100065e+01,1.899899899899899935e+01,-1.000000000000000000e+00
2.104104104104104067e+01,1.895895895895895933e+01,-1.000000000000000000e+00
2.108108108108108070e+01,1.891891891891891930e+01,-1.000000000000000000e+00
2.112112112112112072e+01,1.887887887887887928e+01,-1.000000000000000000e+00
2.116116116116116075e+01,1.883883883883883925e+01,-1.000000000000000000e+00
2.120120120120120077e+01,1.879879879879879923e+01,-1.000000000000000000e+00
2.124124124124124080e+01,1.875875875875875920e+01,-1.000000000000000000e+00
2.128128128128128083e+01,1.871871871871871917e+01,-1.000000000000000000e+00
2.132132132132132085e+01,1.867867867867867915e+01,-1.000000000000000000e+00
2.136136136136136088e+01,1.863863863863863912e+01,-1.000000000000000000e+00
2.140140140140140090e+01,1.859859859859859910e+01,-1.000000000000000000e+00
2.144144144144144093e+01,1.855855855855855907e+01,-1.000000000000000000e+00
2.148148148148148096e+01,1.851851851851851904e+01,-1.000000000000000000e+00
2.152152152152152098e+01,1.847847847847847902e+01,-1.000000000000000000e+00
2.156156156156156101e+01,1.843843843843843899e+01,-1.000000000000000000e+00
2.160160160160160103e+01,1.839839839839839897e+01,-1.000000000000000000e+00
2.164164164164164106e+01,1.835835835835835894e+01,-1.000000000000000000e+00
2.168168168168168108e+01,1.831831831831831892e+01,-1.000000000000000000e+00
2.172172172172172111e+01,1.827827827827827889e+01,-1.000000000000000000e+00
2.176176176176176114e+01,1.823823823823823886e+01,-1.000000000000000000e+00
2.180180180180180116e+01,1.819819819819819884e+01,-1.000000000000000000e+00
2.184184184184184119e+01,1.815815815815815881e+01,-1.000000000000000000e+00
2.188188188188188121e+01,1.811811811811811879e+01,-1.000000000000000000e+00
2.192192192192192124e+01,1.807807807807807876e+01,-1.000000000000000000e+00
2.196196196196196126e+01,1.803803803803803874e+01,-1.000000000000000000e+00
2.200200200200200129e+01,1.799799799799799871e+01,-1.000000000000000000e+00
2.204204204204204132e+01,1.795795795795795868e+01,-1.000000000000000000e+00
2.208208208208208134e+01,1.791791791791791866e+01,-1.000000000000000000e+00
2.212212212212212137e+01,1.787787787787787863e+01,-1.000000000000000000e+00
2.216216216216216139e+01,1.783783783783783861e+01,-1.000000000000000000e+00
2.220220220220220142e+01,1.779779779779779858e+01,-1.000000000000000000e+00
2.224224224224224145e+01,1.775775775775775855e+01,-1.000000000000000000e+00
2.228228228228228147e+01,1.771771771771771853e+01,-1.000000000000000000e+00
2.232232232232232150e+01,1.767767767767767850e+01,-1.000000000000000000e+00
2.236236236236236152e+01,1.763763763763763848e+01,-1.000000000000000000e+00
2.240240240240240155e+01,1.759759759759759845e+01,-1.000000000000000000e+00
2.244244244244244157e+01,1.755755755755755843e+01,-1.000000000000000000e+00
2.248248248248248160e+01,1.751751751751751840e+01,-1.000000000000000000e+00
2.252252252252252163e+01,1.747747747747747837e+01,-1.000000000000000000e+00
2.256256256256256165e+01,1.743743743743743835e+01,-1.000000000000000000e+00
2.260260260260260168e+01,1.739739739739739832e+01,-1.000000000000000000e+00
